Content;Likes;Date;Location
“Forests are good for women. We get medicine from the forests, to ease our labour pains, we fetch water from the streams. They are essential.” Click on our story highlight to watch Claire’s story in full. 🌱 🌿 #Uganda #reforestation #Ecosia;993 likes;May 21;
It's #EndangeredSpeciesDay! Your searches are saving chimpanzees in Uganda, by planting trees for them to live in. We are creating tree corridors that link existing forest patches, so that chimps can safely travel from one patch to the next, and find a mate. 🐒 Tag a friend who isn't using Ecosia yet. #Ecosia #chimpanzees #reforestation;1,609 likes;May 18;
What happens when a farmer keeps his forest? A small miracle. Keith’s land stores so much water, he’s able to grow watermelons. In dry season. 🍉 💦 #Uganda #watermelons;1,219 likes;May 16;
Ecosians, this nursery in Uganda gave us hope. Every day, the local youth join Moses after school to care for the saplings. “They understand what it means for their future,” he told us. 🌳 🙌  #trees #Ecosia #OneTreeAtATime;1,219 likes;May 14;
If we were as big as Google, we could not only end deforestation, but even take enough CO2 out of the air to mitigate the effects of global climate change. Tag a friend who hasn't installed Ecosia yet! 💻 🌏 #reforestation #climatechange #ecosia Photograph by @flaco_d_oro;2,249 likes;May 12;
Our hard work is coming into fruition in Ghana! Thank you for helping us plant a whopping 700,000 trees 🌱🍈 #needamangoemoji #reforestation #ecosia;1,703 likes;May 10;
Nasiche used to walk long distances to collect firewood every day. Now she uses an efficient cooking stove that saves wood and doesn’t let off toxic smoke – good news for both Uganda’s forests and its communities! 🌳  #Ecosia #reforestation #firewood;1,013 likes;May 9;
This little sapling is one of 700,000 trees currently growing in Ghana 🌱 #Ecosia #trees #reforestation;1,828 likes;May 7;Ghana
Saving forests begins at school. In Uganda, our local partner works with the government to educate the next generation of farmers about the importance of trees.  #Ecosia #education #Uganda #reforestation;1,049 likes;May 7;
Your searches are helping to save one of the world's most endangered forests – the Mata Atlântica in Brazil. 🌿🌏 #reforestation #Ecosia;1,146 likes;May 6;
Charcoal production is one of the biggest threats to Uganda’s forests – and to the chimps living there. Your searches are helping local households find more sustainable solutions. 🌿  #reforestation #ClimateAction #Uganda #charcoal;818 likes;May 5;
Happy Friday, Ecosians! Find out how forests benefit women in rural Ghana via our Story. 🌿🇬🇭#women #forests #fridayfeeling;936 likes;May 4;Ghana
We’ve just visited our partners in Burkina Faso, who are preparing for the rainy season. Find out what we’ve been up to on our Story highlights 🇧🇫💦 #burkinafaso #reforestation;1,371 likes;May 3;Burkina Faso
Planting 200,000 trees in one month is hard work. This picture was sent to us by our partners in Brazil! 🌱 👊  #reforestation #Brazil #OneTreeAtATime;1,552 likes;May 2;Brazil
We finance the planting of a new tree every 1.1 seconds. It only takes a minute to plant one, but the benefits last a lifetime. 💚 ⠀📷 from our recent trip to Uganda. #reforestation #Uganda #trees;1,330 likes;April 30;Uganda
Our tree-planting projects rely on the help of leaders like Kedani Abraham. He understands local needs, customs, and environmental factors better than anyone – and most importantly, he motivates local farming communities to join our reforestation effort. 💪🏾 🌳 #Ecosia #Ethiopia #OneTreeAtATime;913 likes;April 28;Ethiopia
As the saying goes, it takes a village to raise a tree. Because more trees mean better agriculture, less erosion, and more rain. ⠀⠀📷 from our recent trip to Ethiopia. #Ethiopia #trees #Ecosia #OneTreeAtATime;872 likes;April 26;Ethiopia
At Ecosia HQ, every day is #DayOfTheTree! 🌱⠀📷 from our recent trip to Uganda. #tagdesbaumes #reforestation #Ecosia;1,644 likes;April 25;Uganda
This Earth Day, let our planet chill. Tag a friend to let them know about Ecosia. 🌿 😎 #EarthDay2018 #Ecosia #reforestation;1,466 likes;April 22;
These women are managing one of our local partner’s tree nurseries in Safa, Ethiopia. By investing part of their salary into projects such as fruit orchards and biogas production, they generate enough revenue to support each other in illness or financial hardship. 🌱💪 #Ecosia #Ethiopia #OneTreeAtATime #community;1,190 likes;April 20;
Can a forest grow in the desert? Yes! Your searches have helped to reforest the Kulba Gode valley in northern Ethiopia, one of the world’s driest regions. 💧 🌱  #EarthDay #ClimateAction #OneTreeAtATime;1,043 likes;April 18;
Your trees are having a huge impact on the slopes in Mount Gango, Ethiopia. Local farmers are now able to grow tomatoes in the lush fields of a formerly barren area. Thank you, Ecosians! 🍎🌳 #Ethiopia #reforestation #ClimateAction #OneTreeAtATime;1,698 likes;April 16;Ethiopia
What our plans for the weekend look like 🐒🍃⠀📷 from our recent field trip to Uganda.#hangingout #monkeybusiness #Uganda #Ecosia;1,169 likes;April 13;Uganda
"""We find that tree planting is actually life for water, and water is life for people and animals, as well as sustainability of everything.""⠀Joram’s forest used to be a wasteland. Now, his well provides clean water for the entire Ugandan village. Find out more on our Story or visit youtube.com/ecosiaorg 💧 🍃  #ClimateAction #OneTreeAtATime #sustainability #Uganda #Ecosia";910 likes;April 12;
25 million trees have been planted by you⠀Providing clean water and habitats, too⠀This makes us so proud⠀And happ'ly we've vowed⠀To keep planting trees with our search revenue.⠀#Poetry #Lovepoems #Poetsofinstagram #Milestone #Reforestation #ClimateAction #Environment #Sustainability #Search #OneTreeAtATime #landscapephotography;;April 10;
This well ran dry. Then the forest was planted. 🌳⠀📷 from our recent field trip to Uganda⠀#Reforestation #ClimateAction #Environment #Sustainability #Search #OneTreeAtATime #landscapephotography #landscape_photography #pixel_ig #landscapestyles_gf #splendid_earth #agameoftones #optoutside #discoverearth #exploretheglobe #earthfocus #ourplanetdaily;1,076 likes;April 4;
Wherever we go, we are amazed at how much love and care our tree-planting partners devote to their nurseries 💚⠀📷  from our recent trip to Ethiopia⠀#Reforestation #ClimateAction #Environment #Sustainability #Search #OneTreeAtATime #landscapephotography #landscape_photography #pixel_ig #landscapestyles_gf #splendid_earth #agameoftones #optoutside #discoverearth #exploretheglobe #earthfocus #ourplanetdaily;1,288 likes;March 29;
Reaching deep into the earth, tree roots draw up groundwater, purify it, and let it evaporate through their leaves. This moisture gathers into clouds before returning to Earth as rain. Without this primordial cycle there would be no agriculture at all.⠀Agriculture also depends on healthy soil, which trees protect from erosion. Trees regulate the temperature of the air and earth, and make moisture available to crops. They prevent soil salinization, shield crops from violent winds, and produce nutrients for all that grows around them. By providing a habitat for bees and other pollinating animals, they also contribute to crop fertilization. 🌳🌳🌳⠀📷 from our recent trip to #Ethiopia⠀#Reforestation #ClimateAction #Environment #Sustainability #Search #OneTreeAtATime #landscapephotography #landscape_photography #pixel_ig #landscapestyles_gf #splendid_earth #agameoftones #optoutside #discoverearth #exploretheglobe #earthfocus #ourplanetdaily;1,583 likes;March 28;
It's happening! Your tree saplings are now being planted in #Brazil. These saplings will grow into large trees and help reforest the once majestic #AtlanticRainforest. 🌳🌳🌳⠀⠀⠀⠀⠀⠀⠀⠀⠀#Reforestation #ClimateAction #Rainforest #Brazil #AmericaLatina #Trees #Environment #Sustainable #Sustainability #Search #OneTreeAtATime;2,513 likes;March 22;
Women make their communities thrive. In our project in Ethiopia, it's often the women who collect the seeds, plant them and later pick the fruit. They bring their kids to school, feed their families and make sure everyone is healthy. That's why investing in women is often the best way to make sure that life improves for everyone.⠀⠀⠀⠀⠀⠀⠀⠀⠀#Women #Reforestation #Children #Health #School #Education #OneTreeAtAtime #ClimateAction;1,386 likes;March 21;
Our partners in Brazil have gathered up your little saplings to bring them to the planting sites, where they will grow into large, climate-cooling trees. 🌎⠀⠀⠀⠀⠀⠀⠀⠀⠀🍃 Thanks for searching! 💚⠀⠀⠀⠀⠀⠀⠀⠀⠀#Brazil #Reforestation #AtlanticRainforest #Trees #OneTreeAtAtime;1,794 likes;March 20;
Your searches not only plant trees. They will also give kids an opportunity to attend school and build a better future. It takes time, but our partners in Burkina Faso, for example, are proving that there is indeed a link between planting trees and bringing kids back to school. As parents start earning a better income from participating in the tree planting projects, they can reinvest into their health, that of their children and into their education.⠀⠀⠀⠀⠀⠀⠀⠀⠀#Education #School #Children #Climate #Trees #ClimateAction #Empowerment #GirlsInSchool #Girls #Reforestation #WeHaveADream #OneTreeAtATime;1,482 likes;March 15;
Landscapes of Ethiopia, where the power of a conscious community is helping reforest entire landscapes.⠀How so, you ask? The communities living around the areas where your searches are planting trees, follow one simple rule: Some land is for grazing, some land simply isn't. Everybody respects that rule. Everybody understands that nature needs time and empathy if you want it to keep bearing fruits for you in the future. Leave it untouched until it is ready to give back again.⠀Patience is a virtue they say, and tree planters all over Ethiopia are proving this to be true. #HappyFriday, Ecosians!⠀#Ethiopia #Africa #Reforestation #TreeHeroes #OneBillionTrees #ClimateAction #Nature #Landscape #NoFilter #TGIF;1,265 likes;March 9;
